Name,Brand,Price,Discounted Price,Category,SuubCategory,Quantity,Description,BreadCrumbs
Premia Tea Masala,Premia,39,35,Dairy & Beverages,Beverages,50 gm,"Benefits Our chai masala combo benefits your health by treating flu and cold, aids digestion, relieves stress, increases mental alertness, boosts immunity, and energizes the body.",Dairy & Beverages > Beverages
Amul Butter,Amul,255,245,Dairy & Beverages,Dairy,500 gm,"OverviewMade from the freshest of cream, the Amul butter has lovely taste which is delicate and slightly salty. This finely processed butter is natural, pure and tastes best overwith toasts and sandwiches. Has a natural and pure formulation that gives it a great taste. Made from fresh cream that has a wonderful flavour. Spread it over toast or cook your curries in it for a heavenly taste.Key Features- Made from the finest cream- Natural and pureStorage ConditionStore in a cool and dry place (Refrigerated) at 4&deg;C or below.",Dairy & Beverages > Dairy
Amul Butter,Amul,52,48,Dairy & Beverages,Dairy,100 gm,"OverviewMade from the freshest of cream, the Amul butter has lovely taste which is delicate and slightly salty. This finely processed butter is natural, pure and tastes best overwith toasts and sandwiches. Has a natural and pure formulation that gives it a great taste. Made from fresh cream that has a wonderful flavour. Spread it over toast or cook your curries in it for a heavenly taste.Key Features- Made from the finest cream- Natural and pureStorage ConditionStore in a cool and dry place (Refrigerated) at 4&deg;C or below.",Dairy & Beverages > Dairy
Amul Butter,Amul,106,98,Dairy & Beverages,Dairy,200 gm,"OverviewMade from the freshest of cream, the Amul butter has lovely taste which is delicate and slightly salty. This finely processed butter is natural, pure and tastes best overwith toasts and sandwiches. Has a natural and pure formulation that gives it a great taste. Made from fresh cream that has a wonderful flavour. Spread it over toast or cook your curries in it for a heavenly taste.Key Features- Made from the finest cream- Natural and pureStorage ConditionStore in a cool and dry place (Refrigerated) at 4&deg;C or below.",Dairy & Beverages > Dairy
Society Tea,Society,140,130,Dairy & Beverages,Beverages,250 gm,"Crushed, twisted and curled, each tea leaf carefully picked to create an amalgamation of exquisite aroma and taste. The CTC process ensures that the society tea offers the perfect infusion of rich colour and strong flavour, providing each customer, a cuppa to cherish.",Dairy & Beverages > Beverages
Society Tea,Society,280,255,Dairy & Beverages,Beverages,500 gm,"Crushed, twisted and curled, each tea leaf carefully picked to create an amalgamation of exquisite aroma and taste. The CTC process ensures that the society tea offers the perfect infusion of rich colour and strong flavour, providing each customer, a cuppa to cherish.",Dairy & Beverages > Beverages
Society Tea,Society,550,480,Dairy & Beverages,Beverages,1 kg,"Crushed, twisted and curled, each tea leaf carefully picked to create an amalgamation of exquisite aroma and taste. The CTC process ensures that the society tea offers the perfect infusion of rich colour and strong flavour, providing each customer, a cuppa to cherish.",Dairy & Beverages > Beverages
Wagh Bakri Premium Leaf Tea Pouch,Wagh Bakri,140,129,Dairy & Beverages,Beverages,250 gm,"OverviewAn integral part of the daily life of millions of tea lovers. Wagh Bakri Tea is renowned for its premium quality which promises you consistency in taste, aroma and strength. At Wagh Bakri Tea Group, they believe tea is a social catalyst that spreads peace and harmony and brings together to build relationships.Key Features- Strong - Refreshing Tea - Serving quality tea for over a 100 years.IngredientsTeaStorage InstructionsBest before 12 months from packaging",Dairy & Beverages > Beverages
Wagh Bakri Premium Leaf Tea Pouch,Wagh Bakri,280,225,Dairy & Beverages,Beverages,500 gm,"OverviewAn integral part of the daily life of millions of tea lovers. Wagh Bakri Tea is renowned for its premium quality which promises you consistency in taste, aroma and strength. At Wagh Bakri Tea Group, they believe tea is a social catalyst that spreads peace and harmony and brings together to build relationships.Key Features- Strong - Refreshing Tea - Serving quality tea for over a 100 years.IngredientsTeaStorage InstructionsBest before 12 months from packaging",Dairy & Beverages > Beverages
Wagh Bakri Premium Leaf Tea Pouch,Wagh Bakri,540,460,Dairy & Beverages,Beverages,1 kg,"OverviewAn integral part of the daily life of millions of tea lovers. Wagh Bakri Tea is renowned for its premium quality which promises you consistency in taste, aroma and strength. At Wagh Bakri Tea Group, they believe tea is a social catalyst that spreads peace and harmony and brings together to build relationships.Key Features- Strong - Refreshing Tea - Serving quality tea for over a 100 years.IngredientsTeaStorage InstructionsBest before 12 months from packaging",Dairy & Beverages > Beverages
Brooke Bond Red Label Tea,Brooke Bond,570,375,Dairy & Beverages,Beverages,1 kg,"
Brooke Bond Red Label Tea brews togetherness by bringing people together over a tasty cup of tea made with your love and warmth.
",Dairy & Beverages > Beverages
Brooke Bond Red Label Tea,Brooke Bond,285,251,Dairy & Beverages,Beverages,500 gm,"
Brooke Bond Red Label Tea brews togetherness by bringing people together over a tasty cup of tea made with your love and warmth.
",Dairy & Beverages > Beverages
Brooke Bond Red Label Tea,Brooke Bond,145,133,Dairy & Beverages,Beverages,250 gm,"
Brooke Bond Red Label Tea brews togetherness by bringing people together over a tasty cup of tea made with your love and warmth.
",Dairy & Beverages > Beverages
Tata Tea Agni,Tata Tea,300,245,Dairy & Beverages,Beverages,1.5 kg,"
Agni is the second largest brand in Tata Tea’s extensive portfolio, with a presence across more than 22 Indian states.
Tata Tea Agni gives price-sensitive consumers a strong tea with 10% extra-long leaves at the best price.
",Dairy & Beverages > Beverages
Tata Tea Agni,Tata Tea,240,209,Dairy & Beverages,Beverages,1 kg,"
Agni is the second largest brand in Tata Tea’s extensive portfolio, with a presence across more than 22 Indian states.
Tata Tea Agni gives price-sensitive consumers a strong tea with 10% extra-long leaves at the best price.
",Dairy & Beverages > Beverages
Tata Tea Agni,Tata Tea,100,90,Dairy & Beverages,Beverages,500 gm,"
Agni is the second largest brand in Tata Tea’s extensive portfolio, with a presence across more than 22 Indian states.
Tata Tea Agni gives price-sensitive consumers a strong tea with 10% extra-long leaves at the best price.
",Dairy & Beverages > Beverages
Tata Tea Agni,Tata Tea,50,46,Dairy & Beverages,Beverages,250 gm,"
Agni is the second largest brand in Tata Tea’s extensive portfolio, with a presence across more than 22 Indian states.
Tata Tea Agni gives price-sensitive consumers a strong tea with 10% extra-long leaves at the best price.
",Dairy & Beverages > Beverages
Brooke Bond Red Label Natural Care Tea,Brooke Bond,650,455,Dairy & Beverages,Beverages,1 kg,"
Red Label Natural Care has a mix of 5 Ayurvedic ingredients like Tulsi, Ashwagandha, Mulethi, Ginger and Cardamom. It is clinically proven to enhance immunity and help you fall ill less often.
",Dairy & Beverages > Beverages
Brooke Bond Red Label Natural Care Tea,Brooke Bond,330,270,Dairy & Beverages,Beverages,500 gm,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Beverages
Brooke Bond Red Label Natural Care Tea,Brooke Bond,170,150,Dairy & Beverages,Beverages,250 gm,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Dairy & Beverages > Beverages
Girnar Royal Cup Tea,Girnar,550,429,Dairy & Beverages,Beverages,1 kg,India,Dairy & Beverages > Beverages
Girnar Royal Cup Tea,Girnar,280,245,Dairy & Beverages,Beverages,500 gm,India,Dairy & Beverages > Beverages
Girnar Royal Cup Tea,Girnar,140,125,Dairy & Beverages,Beverages,250 gm,India,Dairy & Beverages > Beverages
Tata Tea Premium,Tata Tea,140,125,Dairy & Beverages,Beverages,250 gm,"
Tata Tea Premium is beyond being just a cup of tea. It is India's No.1 branded tea, in terms of volume as well as value.
",Dairy & Beverages > Beverages
Tata Tea Premium,Tata Tea,280,227,Dairy & Beverages,Beverages,500 gm,"
Tata Tea Premium is beyond being just a cup of tea. It is India's No.1 branded tea, in terms of volume as well as value.
",Dairy & Beverages > Beverages
